Item,Units,Price,Shop
,,,
F4 V3 PLUS Flight Controller,1,50$,aliexpres
SpeedyBee TX800 5.8GHz VTX,1,35$,aliexpres
Motorst RS2205-2300 x4 kit,1,27$,aliexpres
Gamefan 5.1 inch 3 fan x4,1,4$,aliexpres
SpeedyBee Nano 2.4GHz RX,1,13$,aliexpres
Camera 1800TVL 5MP 19mm,1,10$,aliexpres
M3 screaws pack,1,7$,aliexpres
2PCS CNHL Lipo Battery 4S 14.8V 1300mAh kit,1,52$,aliexpres
Zip Ties Black(3x100mm) 100psc,1,1$,aliexpres
SAM-M8Q 0-10 GPS,1,23$,aliexpres
Pcb and PCBa(include shipping),1,18$,jlbpcb
,,,
Full cost 240 (aliexpres have free shiping),,,
